codigo,nombre producto,material,color
P-001,Destornillador,Metal,Verde
P-002,Silla,Madera,Negro
P-003,Tablero,vidrio,Azul
P-004,Cinta,Nylon,RojO
P-005,Guantes,hule,Amarillo
P-006,Alfombra,poliester,verde
P-007,Martillo,MeTaL,RoJo
P-008,Escritorio,MAdera,NegRO
P-009,Lámpara,VidriO,AMarillo
P-010,Correa,nylon,Azul
P-011,Protector,hULe,verde
P-012,Chaqueta,PoLiEsTer,Negro
P-013,Clavo,meTal,Rojo
P-014,Estante,Madera,Amarillo
P-015,Vaso,vidrio,verde
P-016,Bolsa,NYlon,Negro
P-017,Tapete,hule,azul
P-018,Camiseta,Poliester,Rojo
P-019,Caja,metal,Amarillo
P-020,Armario,MADERA,azul
